Income,Tenure,FICO,Origination,Amount,Grade
45000,3 years,682,Apr-07-2019,15950,C
50800,6 years,722,Jun-09-2019,5500,A
36766,2 years,732,Jun-27-2019,3000,A
52000,10+ years,672,Apr-18-2019,16000,C
38000,2 years,712,May-13-2019,8000,C
90000,10+ years,702,May-22-2019,30000,C
44000,10+ years,767,Jun-11-2019,16000,A
100027,0 years,747,Jun-20-2019,25000,B
49000,8 years,722,Jun-19-2019,1100,B
66700,10+ years,697,Apr-14-2019,15950,D
145079,6 years,667,May-30-2019,33600,C
75000,8 years,732,Apr-20-2019,12000,B
42000,3 years,782,May-02-2019,n/a,B
68000,6 years,722,Apr-21-2019,5200,A
60000,10+ years,727,May-20-2019,12500,B
67200,0 years,732,May-19-2019,21275,A
150021,6 years,692,May-20-2019,5000,B
40000,2 years,727,May-03-2019,7000,A
65000,10+ years,677,Jun-27-2019,15000,C
110100,8 years,692,Apr-29-2019,"NA",C
161008,10+ years,762,May-01-2019,5775,A
180004,10+ years,672,Jun-12-2019,15000,C
94000,10+ years,702,"NA",16000,A
49875,4 years,667,Apr-18-2019,7000,D
50000,0 years,677,Jun-25-2019,5100,A
75000,10+ years,692,Apr-01-2019,6350,A
55000,10+ years,752,May-10-2019,20000,B
33000,8 years,762,Jun-11-2019,11000,A
143037,1 year,672,Apr-23-2019,25000,D
78000,10+ years,722,Apr-14-2019,12000,A
160015,3 years,692,Apr-08-2019,6375,C
48000,1 year,707,Jun-07-2019,21275,C
50000,2 years,n/a,Apr-21-2019,11200,C
174729,10+ years,712,May-13-2019,25000,B
24000,0 years,697,May-01-2019,6500,D
45000,6 years,792,Apr-18-2019,5250,A
45000,5 years,687,Apr-10-2019,10625,B
68500,10+ years,692,May-28-2019,14350,D
65000,10+ years,667,Apr-11-2019,26575,C
60000,5 years,682,May-07-2019,40000,C
97500,5 years,672,May-02-2019,30000,D
85000,3 years,692,Apr-17-2019,16400,D
86500,0 years,742,May-18-2019,4800,A
80000,10+ years,707,Jun-09-2019,12000,D
65000,10+ years,722,"NA",6000,C
290097,0 years,677,May-29-2019,20000,C
110085,10+ years,667,Apr-29-2019,30000,D
80000,6 years,697,May-20-2019,26000,C
81000,10+ years,662,Jun-26-2019,14875,D
55000,10+ years,712,Jun-30-2019,6800,C
95838,5 years,797,Apr-29-2019,22000,B
80000,10+ years,702,May-30-2019,21275,B
350081,10+ years,787,May-30-2019,10800,A
44200,10+ years,802,Jun-20-2019,10450,B
142647,10+ years,747,Apr-14-2019,40000,B
55000,2 years,687,May-26-2019,9000,B
150078,7 years,842,May-13-2019,40000,A
42000,0 years,687,Jun-04-2019,3000,C
65000,2 years,682,May-10-2019,10625,C
108077,10+ years,842,Jun-23-2019,37225,A
28000,2 years,682,May-04-2019,3000,B
25000,10+ years,697,Jun-08-2019,5000,C
72500,10+ years,712,Jun-03-2019,26000,C
100013,10+ years,732,Apr-16-2019,15950,B
180055,2 years,692,Jun-18-2019,n/a,D
54800,10+ years,687,Jun-17-2019,10000,D
55000,10+ years,742,Jun-04-2019,18600,B
n/a,5 years,682,May-05-2019,5300,C
70000,1 year,667,Apr-17-2019,n/a,D
50000,4 years,692,Jun-24-2019,27725,D
84500,4 years,782,Apr-14-2019,10000,B
110061,9 years,772,Apr-18-2019,26000,B
"NA",5 years,707,n/a,9400,D
"NA",10+ years,697,May-12-2019,20000,D
75000,10+ years,662,Apr-30-2019,10000,D
95000,10+ years,667,Apr-14-2019,10000,C
52000,1 year,677,May-18-2019,12750,C
51000,10+ years,667,Jun-16-2019,2000,B
130020,6 years,692,May-24-2019,10000,B
42000,6 years,677,May-08-2019,35000,D
60000,9 years,687,Jun-06-2019,2000,C
60000,10+ years,687,Jun-25-2019,,C
55000,9 years,797,Jun-14-2019,10525,A
40000,3 years,737,Jun-20-2019,13000,B
91000,10+ years,717,May-09-2019,35000,C
,7 years,682,Jun-26-2019,18000,D
1140039,3 years,677,May-03-2019,33925,C
62000,10+ years,712,Jun-27-2019,20000,D
73000,10+ years,667,Apr-15-2019,5600,D
180083,10+ years,832,Apr-20-2019,40000,A
51000,0 years,702,May-26-2019,1600,D
33000,10+ years,727,Apr-22-2019,10000,B
66000,10+ years,722,Apr-13-2019,7500,A
29000,1 year,777,Jun-27-2019,14500,B
80000,10+ years,682,Jun-13-2019,,C
52000,0 years,,Apr-12-2019,10000,A
85000,10+ years,727,May-04-2019,15150,A
32000,5 years,687,Apr-12-2019,10000,D
148585,3 years,752,May-16-2019,16000,A
54000,0 years,722,May-06-2019,25000,D
40000,10+ years,722,Jun-27-2019,5500,B
73000,10+ years,692,May-16-2019,10625,D
28000,3 years,732,Jun-27-2019,10000,A
"NA",10+ years,667,May-11-2019,8650,B
42000,10+ years,712,Apr-04-2019,25000,D
135094,10+ years,682,Apr-11-2019,22000,D
65000,1 year,757,May-03-2019,10100,A
86000,10+ years,672,Jun-07-2019,20000,D
65000,7 years,672,May-11-2019,6100,D
95000,4 years,687,May-12-2019,26500,C
35000,8 years,667,Apr-17-2019,5000,C
68000,0 years,782,May-16-2019,11000,A
80000,10+ years,687,Jun-27-2019,12000,B
36000,5 years,707,May-08-2019,"NA",B
60000,0 years,692,Jun-23-2019,n/a,C
98000,0 years,n/a,Apr-23-2019,15000,B
90000,1 year,662,May-19-2019,15000,B
65000,2 years,682,May-06-2019,13000,D
79000,4 years,727,Apr-06-2019,23925,C
50000,8 years,692,May-19-2019,3000,B
31000,3 years,702,Apr-18-2019,7500,D
125004,7 years,727,May-11-2019,40000,B
49500,10+ years,687,Jun-09-2019,15950,D
75000,10+ years,787,Apr-11-2019,9450,B
42500,10+ years,677,May-05-2019,14400,B
46000,3 years,737,Apr-07-2019,30000,D
151865,5 years,732,Jun-26-2019,17275,A
65000,0 years,797,May-28-2019,10000,A
48800,1 year,707,Apr-04-2019,15000,D
150046,8 years,,May-10-2019,2500,A
65000,10+ years,717,Jun-29-2019,30000,D
87900,10+ years,732,May-03-2019,34200,C
90000,10+ years,707,Apr-12-2019,15000,A
30000,5 years,777,May-18-2019,2400,B
45000,10+ years,662,Jun-23-2019,10000,D
25000,3 years,742,Jun-28-2019,5000,B
36000,5 years,742,May-08-2019,5300,A
75000,6 years,702,May-13-2019,3300,D
160039,6 years,707,Jun-22-2019,5350,D
60000,4 years,697,n/a,6000,C
70000,5 years,692,May-16-2019,9500,C
120083,1 year,737,May-05-2019,16000,B
,7 years,717,Apr-11-2019,12025,A
30000,0 years,747,May-08-2019,20000,B
51500,2 years,752,May-11-2019,12000,A
79000,6 years,722,Jun-27-2019,8000,A
100002,5 years,697,May-07-2019,"NA",C
68415,10+ years,692,,2000,B
65000,3 years,712,May-31-2019,6375,C
98000,10+ years,662,Jun-11-2019,"NA",C
64000,6 years,682,May-30-2019,15000,B
